Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ISI,left_stim,right_stim,ANSWER,duration_mouseview,condition
1,1633029303087,30/09/2021 19:15:03,1633029303025,-7,30/09/2021 12:15:03,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1633029322395,30/09/2021 19:15:22,1633029322390,-7,30/09/2021 12:15:22,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,19332.90000000596,,,,,0,1,0,,,,,,instructions,,,,,,
3,1633029322880,30/09/2021 19:15:22,1633029322887,-7,30/09/2021 12:15:22,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,timelimit_screen,499.6730000000025,,,,,0,1,0,,,1,,,practice,500,neutral6.jpg,neutral7.jpg,,10000,Practice
4,1633029324083,30/09/2021 19:15:24,1633029324069,-7,30/09/2021 12:15:24,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,Zone1,response_button_text,1177.2000000178814,,,+,1,0,1,0,,,,,,practice,500,neutral6.jpg,neutral7.jpg,,10000,Practice
5,1633029334132,30/09/2021 19:15:34,1633029334077,-7,30/09/2021 12:15:34,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone4,mouse_view,,,,63315-4-4757935-task-rrep-16095978-mousetracking-1-3.xlsx,,0,1,0,,,,,,practice,500,neutral6.jpg,neutral7.jpg,,10000,Practice
6,1633029334351,30/09/2021 19:15:34,1633029334078,-7,30/09/2021 12:15:34,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone4,mouse_view,,,,https://gorilla.sc/uploads/schedule/16095978?filename=mousetracking-1-3.xlsx,,0,1,0,,,,,,practice,500,neutral6.jpg,neutral7.jpg,,10000,Practice
7,1633029334351,30/09/2021 19:15:34,1633029334078,-7,30/09/2021 12:15:34,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone3,timelimit_screen,9999.831999999999,,,,,0,1,0,,,1,,,practice,500,neutral6.jpg,neutral7.jpg,,10000,Practice
8,1633029334569,30/09/2021 19:15:34,1633029334570,-7,30/09/2021 12:15:34,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Zone2,timelimit_screen,500.3110000000015,,,,,0,1,0,,,1,,1,trial,500,female3.jpeg,male3.jpeg,,10000,NudeFemaleNudeMale
9,1633029335787,30/09/2021 19:15:35,1633029335813,-7,30/09/2021 12:15:35,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,10,1,2,Screen 2,Zone1,response_button_text,1237.7999999821186,,,+,1,0,1,0,,,,,1,trial,500,female3.jpeg,male3.jpeg,,10000,NudeFemaleNudeMale
10,1633029345806,30/09/2021 19:15:45,1633029345823,-7,30/09/2021 12:15:45,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,10,1,3,Screen 4,Zone4,mouse_view,,,,63315-4-4757935-task-rrep-16095978-mousetracking-2-3.xlsx,,0,1,0,,,,,1,trial,500,female3.jpeg,male3.jpeg,,10000,NudeFemaleNudeMale
11,1633029345996,30/09/2021 19:15:45,1633029345825,-7,30/09/2021 12:15:45,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,10,1,3,Screen 4,Zone4,mouse_view,,,,https://gorilla.sc/uploads/schedule/16095978?filename=mousetracking-2-3.xlsx,,0,1,0,,,,,1,trial,500,female3.jpeg,male3.jpeg,,10000,NudeFemaleNudeMale
12,1633029345996,30/09/2021 19:15:45,1633029345825,-7,30/09/2021 12:15:45,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,10,1,3,Screen 4,Zone3,timelimit_screen,9999.779999999999,,,,,0,1,0,,,1,,1,trial,500,female3.jpeg,male3.jpeg,,10000,NudeFemaleNudeMale
13,1633029346278,30/09/2021 19:15:46,1633029346302,-7,30/09/2021 12:15:46,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,12,2,1,Screen 1,Zone2,timelimit_screen,499.890999999996,,,,,0,1,0,,,1,,1,trial,500,female5.jpeg,male5.jpeg,,10000,NudeFemaleNudeMale
14,1633029347802,30/09/2021 19:15:47,1633029347813,-7,30/09/2021 12:15:47,63315,4,task-rrep,,16095978,100,4757935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Male Female Pairs Viewing Task,6,Spreadsheet1,Spreadsheet1,12,2,2,Screen 2,Zone1,response_button_text,1509,,,+,1,0,1,0,,,,,1,trial,500,female5.jpeg,male5.jpeg,,10000,NudeFemaleNudeMale
