Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-frfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ISI,left_stim,right_stim,ANSWER,duration_mouseview,condition
1,1641673124613,08/01/2022 20:18:44,1641673125073,-8,08/01/2022 12:18:45,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1504x850,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1641673142153,08/01/2022 20:19:02,1641673142669,-8,08/01/2022 12:19:02,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,751x849,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,17497,,,,,0,1,0,,,,,,instructions,,,,,,
3,1641673148317,08/01/2022 20:19:08,1641673148813,-8,08/01/2022 12:19:08,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1504x850,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,timelimit_screen,500,,,,,0,1,0,,,1,,,practice_standard,500,neutral6.jpg,neutral7.jpg,,8000,
4,1641673149284,08/01/2022 20:19:09,1641673149781,-8,08/01/2022 12:19:09,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1504x850,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,Zone1,response_button_text,956,,,+,1,0,1,0,,,,,,practice_standard,500,neutral6.jpg,neutral7.jpg,,8000,
5,1641673157292,08/01/2022 20:19:17,1641673157809,-8,08/01/2022 12:19:17,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone4,mouse_view,,,,71176-12-5440797-task-zwsq-18377017-mousetracking-1-3.xlsx,,0,1,0,,,,,,practice_standard,500,neutral6.jpg,neutral7.jpg,,8000,
6,1641673157482,08/01/2022 20:19:17,1641673157811,-8,08/01/2022 12:19:17,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone4,mouse_view,,,,https://gorilla.sc/uploads/schedule/18377017?filename=mousetracking-1-3.xlsx,,0,1,0,,,,,,practice_standard,500,neutral6.jpg,neutral7.jpg,,8000,
7,1641673157482,08/01/2022 20:19:17,1641673157812,-8,08/01/2022 12:19:17,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,2,1,3,Screen 4,Zone3,timelimit_screen,8000.119999999999,,,,,0,1,0,,,1,,,practice_standard,500,neutral6.jpg,neutral7.jpg,,8000,
8,1641673157761,08/01/2022 20:19:17,1641673158280,-8,08/01/2022 12:19:18,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone2,timelimit_screen,500,,,,,0,1,0,,,1,,1,trial_standard,500,C22.jpg,C2.jpg,,8000,2_ClothedWomanClothedMan
9,1641673159468,08/01/2022 20:19:19,1641673159994,-8,08/01/2022 12:19:19,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,12,1,2,Screen 2,Zone1,response_button_text,1698,,,+,1,0,1,0,,,,,1,trial_standard,500,C22.jpg,C2.jpg,,8000,2_ClothedWomanClothedMan
10,1641673167480,08/01/2022 20:19:27,1641673167990,-8,08/01/2022 12:19:27,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,12,1,3,Screen 4,Zone4,mouse_view,,,,71176-12-5440797-task-zwsq-18377017-mousetracking-2-3.xlsx,,0,1,0,,,,,1,trial_standard,500,C22.jpg,C2.jpg,,8000,2_ClothedWomanClothedMan
11,1641673167697,08/01/2022 20:19:27,1641673167993,-8,08/01/2022 12:19:27,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,12,1,3,Screen 4,Zone4,mouse_view,,,,https://gorilla.sc/uploads/schedule/18377017?filename=mousetracking-2-3.xlsx,,0,1,0,,,,,1,trial_standard,500,C22.jpg,C2.jpg,,8000,2_ClothedWomanClothedMan
12,1641673167697,08/01/2022 20:19:27,1641673167993,-8,08/01/2022 12:19:27,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,12,1,3,Screen 4,Zone3,timelimit_screen,8000.119999999995,,,,,0,1,0,,,1,,1,trial_standard,500,C22.jpg,C2.jpg,,8000,2_ClothedWomanClothedMan
13,1641673167994,08/01/2022 20:19:27,1641673168480,-8,08/01/2022 12:19:28,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,7,2,1,Screen 1,Zone2,timelimit_screen,500,,,,,0,1,0,,,1,,1,trial_standard,500,B1.jpg,B11.jpg,,8000,1_ClothedManNudeMan
14,1641673168685,08/01/2022 20:19:28,1641673169190,-8,08/01/2022 12:19:29,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,7,2,2,Screen 2,Zone1,response_button_text,701,,,+,1,0,1,0,,,,,1,trial_standard,500,B1.jpg,B11.jpg,,8000,1_ClothedManNudeMan
15,1641673177176,08/01/2022 20:19:37,1641673177189,-8,08/01/2022 12:19:37,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,7,2,3,Screen 4,Zone4,mouse_view,,,,71176-12-5440797-task-zwsq-18377017-mousetracking-3-3.xlsx,,0,1,0,,,,,1,trial_standard,500,B1.jpg,B11.jpg,,8000,1_ClothedManNudeMan
16,1641673177410,08/01/2022 20:19:37,1641673177191,-8,08/01/2022 12:19:37,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,7,2,3,Screen 4,Zone4,mouse_view,,,,https://gorilla.sc/uploads/schedule/18377017?filename=mousetracking-3-3.xlsx,,0,1,0,,,,,1,trial_standard,500,B1.jpg,B11.jpg,,8000,1_ClothedManNudeMan
17,1641673177410,08/01/2022 20:19:37,1641673177191,-8,08/01/2022 12:19:37,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,7,2,3,Screen 4,Zone3,timelimit_screen,8000.0999999999985,,,,,0,1,0,,,1,,1,trial_standard,500,B1.jpg,B11.jpg,,8000,1_ClothedManNudeMan
18,1641673177410,08/01/2022 20:19:37,1641673177681,-8,08/01/2022 12:19:37,71176,12,task-zwsq,,18377017,BLIND,5440797,,complete,,0wq313ai4r6f,computer,Desktop or Laptop,Windows 10,Firefox 95.0,1504x1003,1072x681,,Experimental Block A (standard blurred),2,AB,Spreadsheet1,Spreadsheet1,14,3,1,Screen 1,Zone2,timelimit_screen,500.0199999999968,,,,,0,1,0,,,1,,1,trial_standard,500,C44.jpg,C4.jpg,,8000,2_ClothedWomanClothedMan
